Abstract_Entity_Counts,Generated_Abstract_Entity_Counts
,
LOC:2,
,
,PRS:1
,
,
,
,
PRS:1,LOC:1 | ORG:1 | PRS:2
PRS:1,LOC:1 | PRS:2
,
,
,
,
,
,
TME:1,
,
LOC:1,
,
,
OBJ:1 | PRS:1,
,
,
,
PRS:1,
,
,PRS:1
PRS:3,LOC:1 | PRS:1
LOC:1,
,
,ORG:1
,
,
LOC:2,LOC:1 | ORG:1
LOC:1 | TME:1,LOC:1
LOC:1,LOC:2 | ORG:1
,LOC:2
LOC:1 | PRS:2,LOC:1
LOC:2,LOC:2 | TME:1
LOC:1,LOC:4
LOC:1,
,
PRS:1,
LOC:2 | ORG:1,
,
,
,
PRS:1,
LOC:1,
,
,
LOC:1 | PRS:1,LOC:1
LOC:2 | PRS:1,LOC:1
,LOC:1
,
,LOC:1
,
,
,LOC:1
,
,
,
,
,
TME:1,
PRS:1 | WRK:1,
,
,ORG:1 | PRS:1
,
,ORG:1
,
,
,
,
LOC:5 | PRS:2,
,
PRS:2,PRS:2
PRS:1 | WRK:1,ORG:1 | PRS:2
PRS:3,ORG:1 | PRS:3
PRS:1,ORG:1 | PRS:2
PRS:1,ORG:1 | PRS:3
,
,
PRS:1,
,
,
LOC:1 | PRS:1,
,
,
LOC:3 | PRS:1,
,LOC:1
,
,
,
,
,
,
LOC:1,LOC:1
PRS:1 | TME:1,
,ORG:1
LOC:1 | PRS:1,
PRS:1,PRS:2
PRS:3,PRS:2
PRS:1,PRS:3
LOC:1 | ORG:1,
,
,
PRS:1,
,
,TME:1
,
,
,
,
LOC:1,LOC:3
,
,
,
,
,
,
,
,
,
,
ORG:1,PRS:1
LOC:1,PRS:1
,ORG:1 | PRS:2
PRS:1,PRS:4
LOC:1 | ORG:1 | PRS:1,ORG:1 | PRS:4
PRS:2,PRS:5
LOC:3 | PRS:6,LOC:1 | PRS:3
LOC:3 | ORG:1 | PRS:11,PRS:3 | WRK:1
ORG:1,
PRS:1,
,
,
,
,PRS:1
,
,ORG:1
LOC:1,ORG:1
,ORG:1
LOC:1,
,WRK:2
LOC:1 | ORG:1 | PRS:1,PRS:1 | WRK:1
LOC:3 | PRS:4 | WRK:1,PRS:1 | WRK:1
,WRK:1
,PRS:1
,LOC:2
,LOC:1
LOC:1,
ORG:1,
LOC:1,LOC:1
,
LOC:2,
,
,
LOC:3 | PRS:2,PRS:1
LOC:2,LOC:1
PRS:1,
,
,
,
,LOC:1
,LOC:1
,LOC:3
PRS:1,LOC:3
LOC:1,LOC:3
LOC:1 | ORG:1,ORG:1 | TME:1
,ORG:1 | TME:1
,
ORG:1 | TME:1,ORG:1
LOC:1 | ORG:1,ORG:1 | TME:1
LOC:1 | ORG:3,LOC:1 | ORG:2 | TME:1
,LOC:1 | ORG:1
LOC:3 | ORG:1,LOC:1 | ORG:1 | TME:1
,LOC:1 | ORG:1 | PRS:1
PRS:1,LOC:4
LOC:3 | ORG:1,LOC:3
,LOC:4
,LOC:2
LOC:1 | ORG:1,LOC:1
PRS:2,
LOC:7 | ORG:3 | PRS:3 | WRK:1,LOC:2
,LOC:3
,
LOC:1,
LOC:1,
,
,
,
,
,
,
,
ORG:1,LOC:1 | ORG:1
LOC:1,ORG:3
LOC:1,ORG:4
LOC:1 | ORG:2,ORG:1
LOC:1,ORG:2
,
,
,ORG:1
LOC:2,LOC:1 | ORG:1 | PRS:1
,LOC:2
,LOC:2
PRS:1,
,
,
LOC:2,
,
PRS:1,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,PRS:2 | WRK:1
PRS:1,PRS:1
,
,
,
PRS:1,OBJ:2 | PRS:1
PRS:2,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
PRS:1,
PRS:1,
,
,
LOC:1 | ORG:1 | PRS:1,
,
ORG:1,
,
,PRS:2
LOC:1,
,PRS:2
,PRS:2
PRS:2 | WRK:1,PRS:2
,
LOC:2,PRS:2
ORG:1 | TME:1,PRS:1
PRS:1,
,PRS:1
LOC:1,PRS:1
ORG:1 | PRS:1,PRS:1
